Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"86 Waterford Dr Toronto, ON",Richview,999888,43.679882,-79.544266,M9R 2N8,Etobicoke
"#1409 - 230 King St Toronto, ON",Downtown,362000,43.651478,-79.368118,M5A 2P8,Toronto
"254A Monarch Park Ave Toronto, ON",Old East York,1488000,43.686375,-79.328918,M4J 4S5,East York
"3 Bracebridge Ave Toronto, ON",Old East York,599900,43.697842,-79.317368,M4C 2X6,East York
"#710 - 1080 Bay St Toronto, ON",Downtown,805900,43.666794,-79.388756,M5S 0A5,Old Toronto
"160 Jenkinson Way Toronto, ON",Dorset Park,549900,43.749599,-79.270844,M1P 5H4,Scarborough
"40 Hawthorne Rd Toronto, ON",Richview,850000,43.692314,-79.552635,M9R 1P3,Etobicoke
"#4905 - 16 Harbour St Toronto, ON",Downtown,1348000,43.642578,-79.3769,M5J 2Y4,Old Toronto
"430 Military Tr Toronto, ON",Morningside,675000,43.788639,-79.207932,M1E 4E7,Scarborough
"31 Yorkshire Rd Toronto, ON",Ionview,499900,43.740097,-79.273987,M1K 3B7,Scarborough
"34 Ordway Rd Toronto, ON",Kennedy Park,599000,43.733814,-79.25,M1K 4J4,Scarborough
"47 Waterbeach Cres Toronto, ON",Rexdale,549900,43.726189,-79.582047,M9W 3L9,Etobicoke
"2 Moraine Hill Dr Toronto, ON",Tam O'Shanter,698000,43.774624,-79.298141,M1T 1Z9,Scarborough
"#18 - 170 Wickson Tr Toronto, ON",Malvern,338000,43.805099,-79.21196,M1B 1M4,Scarborough
"6 Willesden Rd Toronto, ON",Don Valley Village,699800,43.792187,-79.365669,M2H 1V5,North York
"#2705 - 70 Temperance St Toronto, ON",Downtown,325000,43.650372,-79.382347,M5H 3V5,Old Toronto
"49 Cadillac Ave Toronto, ON",Wilson Heights,1149000,43.734875,-79.441017,M3H 1S3,North York
"4 Danube Dr Toronto, ON",Wexford - Maryvale,749900,43.742485,-79.296707,M1R 1Y7,Scarborough
"#1209 - 35 Finch Ave Toronto, ON",Willowdale,419000,43.779987,-79.412735,M2N 6Z8,Toronto
"9 Struthers St Toronto, ON",Mimico,749000,43.609005,-79.496078,M8V 1Y2,Etobicoke
"1574 Pharmacy Ave Toronto, ON",Wexford - Maryvale,649900,43.763866,-79.312263,M1R 2K7,Scarborough
"26 Waterbury Dr Toronto, ON",Richview,595500,43.687061,-79.571083,M9R 3X6,Etobicoke
"#3010 - 65 St  Mary St Toronto, ON",Downtown,312000,43.666897,-79.389038,M5S 0A6,Old Toronto
"1 Silbury Dr Toronto, ON",Agincourt,709900,43.809811,-79.263359,M1V 2P2,Scarborough
"1465A Birchmount Rd Toronto, ON",Dorset Park,599900,43.755791,-79.28788,M1P 2G4,Scarborough
"143 Princess Margaret Blvd Toronto, ON",Princess Margaret,1049000,43.666405,-79.553543,M9B 2Z4,Etobicoke
"175 Haddington Ave Toronto, ON",Nortown,2888000,43.733734,-79.425026,M5M 2P7,North York
"## 911 - 5 Shady Gfwy Toronto, ON",Flemingdon Park,279900,43.717915,-79.326309,M3C 3A5,North York
"#1805 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,299900,43.757698,-79.409042,M2N 7K6,North York
"68 Kenilworth Ave Toronto, ON",The Beach,1929000,43.668091,-79.301514,M4L 3S5,Old Toronto
"#1505 - 125 Western Battery Rd Toronto, ON",Niagara,399900,43.639946,-79.416664,M6K 3R8,Old Toronto
"138 Mckee Ave Toronto, ON",Willowdale,3988000,43.774734,-79.405685,M2N 4C5,North York
"#2403 - 375 King St Toronto, ON",Downtown,548000,43.645641,-79.392952,M5V 1K1,Old Toronto
"22 Strathearn Blvd Toronto, ON",Midtown Toronto,5288000,43.691135,-79.415573,M5P 1S7,Old Toronto
"#406 - 300 Manitoba St Toronto, ON",Mimico,309000,43.62421,-79.489449,M8Y 4G9,Etobicoke
"#1901 - 231 Fort York Blvd Toronto, ON",Niagara,369000,43.636837,-79.406052,M5V 4A2,Old Toronto
"#1010 - 65 East Liberty St Toronto, ON",Liberty Village,420000,43.638054,-79.414818,M6K 0A2,Old Toronto
"#203 - 17 Kenaston Gdns Toronto, ON",Bayview Village,429000,43.766094,-79.385582,M2K 1G7,North York
"#502 - 2 Anndale Dr Toronto, ON",Willowdale,559000,43.760464,-79.410248,M2N 0G5,North York
"1060 Midland Ave Toronto, ON",Bendale,699900,43.744205,-79.262428,M1K 4G9,Scarborough
"#701 - 3 Massey Sq Toronto, ON",Old East York,315000,43.696827,-79.293411,M4C 5L5,East York
"#711 - 33 Singer Crt Toronto, ON",Bayview Village,428000,43.769611,-79.368416,M2K 0B4,North York
"#1127 - 5 Everson Dr Toronto, ON",Willowdale,348800,43.757408,-79.406853,M2N 7C3,North York
"#1501 - 3050 Ellesmere Rd Toronto, ON",Morningside,209900,43.786037,-79.197723,M1E 5E6,Scarborough
"112 Helendale Ave Toronto, ON",Midtown Toronto,989000,43.708542,-79.402115,M4R 1C7,Old Toronto
"#2004 - 21 Balmuto St Toronto, ON",Downtown,445900,43.669151,-79.387375,M4Y 1W4,Old Toronto
"#707 - 5 Rowntree Rd Toronto, ON",Rexdale,319901,43.74955,-79.58075,M9V 5G9,Toronto
"45 Valhalla Blvd Toronto, ON",Birch Cliff,699000,43.688419,-79.267677,M1N 3B4,Scarborough
"102 Mcgillivray Ave Toronto, ON",Nortown,1299900,43.736374,-79.430412,M5M 2Y4,North York
"#1912 - 62 Forest Manor Rd Toronto, ON",Henry Farm,325000,43.773922,-79.345726,M2J 0B6,North York
"9 Isaac Devins Blvd Toronto, ON",Humberlea,1049000,43.729229,-79.534203,M9M 0C7,North York
"#3601 - 2220 Lakeshore Blvd Toronto, ON",Mimico,320000,43.62273,-79.483192,M8V 0C1,Etobicoke
"#537 - 665 Kennedy Rd Toronto, ON",Scarborough Junction,179000,43.72599,-79.265015,M1K 2B8,Scarborough
"#2709 - 70 Temperance St Toronto, ON",Downtown,459000,43.650372,-79.382347,M5H 3V5,Old Toronto
"#2708 - 5168 Yonge St Toronto, ON",Willowdale,409900,43.769829,-79.413467,M2N 0G1,North York
"#1905 - 17 Anndale Dr Toronto, ON",Willowdale,580000,43.760136,-79.40789,M2N 2W7,North York
"#2002 - 2 Anndale Dr Toronto, ON",Willowdale,605900,43.760464,-79.410248,M2N 0G5,North York
"#2016 - 155 Beecroft Rd Toronto, ON",Willowdale,469900,43.765537,-79.413155,M2N 7C5,North York
"#1016 - 35 Bales Ave Toronto, ON",Willowdale,515000,43.760181,-79.408218,M2N 7L7,North York
"#729 - 39 Queens Quay Way Toronto, ON",Downtown,438800,43.641346,-79.372421,M5E 0A4,Old Toronto
"22 Norman Wesley Way Toronto, ON",Downsview,579999,43.743221,-79.488487,M3M 3H4,North York
"25 Parkland Rd Toronto, ON",Birch Cliff,1790000,43.685295,-79.281013,M1N 1Y7,Scarborough
"30 Exeter St Toronto, ON",Carleton Village,699900,43.673656,-79.455894,M6N 1G2,Old Toronto
"#305 - 9 Burnhamthorpe Cres Toronto, ON",Islington,598000,43.649681,-79.530716,M9A 1G4,Etobicoke
"#Loft 2 - 2B Minto St Toronto, ON",Leslieville,1369900,43.663742,-79.324966,M4L 1B6,Old Toronto
"#1605 - 61 Markbrook Lane Toronto, ON",Rexdale,254900,43.759262,-79.585342,M9V 5E7,Etobicoke
"#724 - 2885 Bayview Ave Toronto, ON",Bayview Village,559999,43.767937,-79.387955,M2K 0A3,North York
"#402 - 323 Richmond St Toronto, ON",Old Town,337000,43.653217,-79.368378,M5A 4S8,Old Toronto
"90 Browning Ave Toronto, ON",Riverdale,1599000,43.682064,-79.353073,M4K 1V9,Old Toronto
