Homicide_Year,Homicide_Lat,Homicide_Lng,Homicide_Neighbourhood,Homicide_Postal_Code,Homicide_Neighborhood2,Homicide_Postal_Group
2016,43.6673737,-79.3816376,Church-Yonge Corridor (75),M4Y 1L5,Old Toronto,M4Y
2016,43.705143,-79.5294037,Weston (113),M9N 1Z2,North York,M9N
2016,43.7427292,-79.5403366,Humbermede (22),M9M 1N6,Toronto,M9M
2016,43.7045708,-79.3967972,Mount Pleasant West (104),M4S 1V5,Old Toronto,M4S
2016,43.6572113,-79.4040756,University (79),M5T 3A9,Old Toronto,M5T
2016,43.6572113,-79.4040756,University (79),M5T 3A9,Old Toronto,M5T
2016,43.6491318,-79.4379425,Little Portugal (84),M6K 2S5,Old Toronto,M6K
2016,43.7080193,-79.3413849,Thorncliffe Park (55),M4H 1C5,East York,M4H
2016,43.7378082,-79.520134,Glenfield-Jane Heights (25),M3N 2T5,Toronto,M3N
2016,43.6504669,-79.3719101,Moss Park (73),M5C 1G8,Old Toronto,M5C
2016,43.7529755,-79.2580719,Bendale (127),M1P 3S5,Scarborough,M1P
2016,43.6694145,-79.3824921,Church-Yonge Corridor (75),M4Y 2G3,Old Toronto,M4Y
2016,43.6771507,-79.334877,Blake-Jones (69),M4J 1E9,Old Toronto,M4J
2016,43.6573067,-79.3734589,Moss Park (73),M5A 1Z4,Old Toronto,M5A
2016,43.6661606,-79.3529129,North Riverdale (68),M4K 2M7,Old Toronto,M4K
2016,43.6419144,-79.4127045,Niagara (82),M6K 3G9,Old Toronto,M6K
2016,43.7395859,-79.2228241,Scarborough Village (139),M1M 3R6,Scarborough,M1M
2016,43.7395859,-79.2228241,Scarborough Village (139),M1M 3R6,Scarborough,M1M
2016,43.7395859,-79.2228241,Scarborough Village (139),M1M 3R6,Scarborough,M1M
2016,43.6600647,-79.3523102,South Riverdale (70),M4M 2S6,Old Toronto,M4M
2016,43.6373482,-79.4253387,South Parkdale (85),M6K 3L5,Old Toronto,M6K
2016,43.7685204,-79.5005569,York University Heights (27),M3J 0B9,North York,M3J
2016,43.7743988,-79.2535477,Bendale (127),M1P 4Y7,Scarborough,M1P
2016,43.6702118,-79.4570313,Weston-Pellam Park (91),M6N 2Y2,Old Toronto,M6N
2016,43.7341003,-79.6099167,West Humber-Clairville (1),M9W 5P5,Etobicoke,M9W
2016,43.7006035,-79.5177917,Weston (113),M9N 1W4,Toronto,M9N
2016,43.7470398,-79.6001587,West Humber-Clairville (1),M9V 3K1,Etobicoke,M9V
2016,43.6995316,-79.5563736,Kingsview Village-The Westway (6),M9R 3G1,Etobicoke,M9R
2016,43.7640533,-79.2056274,Morningside (135),M1G 1R8,Scarborough,M1G
2016,43.6554642,-79.4126129,Palmerston-Little Italy (80),M6G 1B2,Old Toronto,M6G
2016,43.7260284,-79.3135223,Victoria Village (43),M4A,North York,M4A
2016,43.769165,-79.5187607,Black Creek (24),M3N 1T4,North York,M3N
2016,43.6617737,-79.3529434,South Riverdale (70),M4M 1P9,Old Toronto,M4M
2016,43.7506409,-79.4415665,Clanton Park (33),M3H 2K7,North York,M3H
2016,43.7553139,-79.5269089,Black Creek (24),M3N,North York,M3N
2016,43.6937408,-79.3427277,Old East York (58),M4J 3S2,East York,M4J
2016,43.7450218,-79.219696,Scarborough Village (139),M1J 3G1,Scarborough,M1J
2016,43.6527443,-79.4316788,Dufferin Grove (83),M6H 1B4,Old Toronto,M6H
2016,43.700161,-79.5162048,Weston (113),M9N 1H7,York,M9N
2016,43.7013283,-79.5486755,Kingsview Village-The Westway (6),Canada,Toronto,Can
2016,43.6561661,-79.3701248,Moss Park (73),M5A,Toronto,M5A
2016,43.6931458,-79.2912979,Taylor-Massey (61),M4C 1X1,East York,M4C
2016,43.7965355,-79.4104843,Newtonbrook East (50),M2M 3G1,North York,M2M
2016,43.6719971,-79.5434952,Princess-Rosethorn (10),M9A 1Z9,Etobicoke,M9A
